Task Type,Task Name,Task Category,Dependencies,Priority,Time Anchor (drop down)
Category,Onboarding,Onboarding,,NORMAL,54 Weeks Out
Task,Create Canva Doc,Onboarding,,NORMAL,54 Weeks Out
Task,Create Email Folder,Onboarding,,NORMAL,54 Weeks Out
Task,Create Laptop Folder,Onboarding,,NORMAL,54 Weeks Out
Task,Create Budget Tracker,Onboarding,,NORMAL,54 Weeks Out
Task,Choose ceremony time and duration,Onboarding,,NORMAL,54 Weeks Out
Category,Couple Tasks - 12+ Months Out,,Onboarding,NORMAL,54 Weeks Out
Couple Tasks,Define Budget,Couple Tasks - 12+ Months Out,,NORMAL,54 Weeks Out
Couple Tasks,Start Wedding Website,Couple Tasks - 12+ Months Out,,NORMAL,54 Weeks Out
Couple Tasks,Preliminary Guest List,Couple Tasks - 12+ Months Out,,NORMAL,54 Weeks Out
Couple Tasks,Visit Venues,Couple Tasks - 12+ Months Out,,NORMAL,54 Weeks Out
Couple Tasks,Set Wedding Date,Couple Tasks - 12+ Months Out,,NORMAL,54 Weeks Out
Couple Tasks,Review Google Budget Sheet,Couple Tasks - 12+ Months Out,,NORMAL,54 Weeks Out
Category,Research Venue,,Couple Tasks - 12+ Months Out,HIGH,54 Weeks Out
Task,Compile initial venue wish-list from couple's questionnaire,Research Venue,,NORMAL,53 Weeks Out
Task,"Cross-check guest count, budget, location constraints",Research Venue,,NORMAL,53 Weeks Out
Task,Pull pricing guides & availability for top venues,Research Venue,,NORMAL,53 Weeks Out
Task,Create side-by-side comparison sheet,Research Venue,,NORMAL,52 Weeks Out
Task,Schedule in-person site visits (hold tentative dates),Research Venue,,NORMAL,52 Weeks Out
Task,Conduct site visit & capture photos/video for client review,Research Venue,,NORMAL,53 Weeks Out
Task,Verify venues inclusive vs. exclusive vendor policies,Research Venue,,NORMAL,53 Weeks Out
Task,"Check noise ordinances, curfew, insurance requirements",Research Venue,,NORMAL,53 Weeks Out
Category,Couple Tasks - 12 Months Out,,Onboarding,NORMAL,54 Weeks Out
Couple Tasks,Schedule Dress Shopping Appointments,Couple Tasks - 12 Months Out,,NORMAL,54 Weeks Out
Couple Tasks,Brainstorm Honeymoon Locations,Couple Tasks - 12 Months Out,,NORMAL,54 Weeks Out
Category,Book Venue,,Research Venue,URGENT,52 Weeks Out
Task,Present short-list & gather client feedback,Book Venue,,NORMAL,52 Weeks Out
Task,"Confirm package inclusions (tables, chairs, getting-ready suites, rain plan)",Book Venue,,NORMAL,52 Weeks Out
Task,Gather venue inventory list to avoid duplication when booking rentals,Book Venue,,NORMAL,52 Weeks Out
Task,Send contract to client for signature & deposit payment link,Book Venue,,NORMAL,51 Weeks Out
Task,Upload signed agreement to couple's folder,Book Venue,,NORMAL,50 Weeks Out
Task,Collect updated COI requirements & share with vendors,Book Venue,,NORMAL,52 Weeks Out
Task,Request certificate of additional insured for venue,Book Venue,,NORMAL,52 Weeks Out
Task,Add venue logistics to master timeline & layout doc,Book Venue,,NORMAL,51 Weeks Out
Task,Input venue information into Canva doc,Book Venue,,NORMAL,52 Weeks Out
Task,Put payment dates into calendar,Book Venue,,NORMAL,52 Weeks Out
Phase,PLANNING,,,NORMAL,52 Weeks Out
Category,Research Photographer,,,NORMAL,54 Weeks Out
Task,"Source options via referrals, IG/Pinterest inspiration and questionnaire",Research Photographer,,NORMAL,54 Weeks Out
Task,Check date availability & starting rates,Research Photographer,,NORMAL,54 Weeks Out
Task,"Build comparison chart (hours, edits, second shooter, travel)",Research Photographer,,NORMAL,54 Weeks Out
Task,Verify vendor liability insurance & backup gear protocol,Research Photographer,,NORMAL,53 Weeks Out
Category,Book Photographer,,Research Photographer,NORMAL,52 Weeks Out
Task,Negotiate package upgrades/discounts if multi-day coverage,Book Photographer,,NORMAL,53 Weeks Out
Task,Send photographer contract to client,Book Photographer,,NORMAL,53 Weeks Out
Task,Track deposit invoice & payment confirmation,Book Photographer,,NORMAL,52 Weeks Out
Task,Receive signed contract; save to Photographer folder,Book Photographer,,NORMAL,52 Weeks Out
Task,"Send ""Photographer Questionnaire"" to couple (shot list, VIPs, restrictions)",Book Photographer,,NORMAL,52 Weeks Out
Task,Share questionnaire with couple; set 2-week completion reminder,Book Photographer,,NORMAL,52 Weeks Out
Task,Remind couple to schedule engagement session (if included),Book Photographer,,NORMAL,51 Weeks Out
Task,Set reminder to confirm final timeline & balance (30 days out),Book Photographer,,NORMAL,51 Weeks Out
Task,Input photographer info into Canva doc,Book Photographer,,NORMAL,51 Weeks Out
Task,Put payment dates into calendar (photographer),Book Photographer,,NORMAL,51 Weeks Out
Category,Research Entertainment ,,,NORMAL,52 Weeks Out
Task,Gather genre preferences & must-play / do-not-play list from questionnaire,Research Entertainment ,,NORMAL,52 Weeks Out
Task,"Gather band & DJ referrals; live sets, demos, and mixes to share",Research Entertainment ,,NORMAL,52 Weeks Out
Task,Confirm power requirements & stage footprint for entertainment,Research Entertainment ,,NORMAL,50 Weeks Out
Task,Check date availability & set-length packages,Research Entertainment ,,NORMAL,52 Weeks Out
Task,Request proposals (include ceremony + cocktail hour options),Research Entertainment ,,NORMAL,52 Weeks Out
Task,"Compare MC services, lighting, travel, overtime fees",Research Entertainment ,,NORMAL,51 Weeks Out
Task,Review equipment rider; ensure venue compliance,Research Entertainment ,,NORMAL,51 Weeks Out
Task,Verify liability & equipment insurance,Research Entertainment ,,NORMAL,51 Weeks Out
Task,"Confirm lapel mic, speaker set up for ceremony/cocktail hour, backup power plan, lights, and rain plan",Research Entertainment ,,NORMAL,
Category,Book Entertainment,,Research Entertainment ,HIGH,51 Weeks Out
Task,"Negotiate hours, add-ons, inclusions",Book Entertainment,,NORMAL,51 Weeks Out
Task,Send contract & deposit link to client,Book Entertainment,,NORMAL,50 Weeks Out
Task,Upload signed agreement to couple's folder,Book Entertainment,,NORMAL,50 Weeks Out
Task,Input entertainment info into Canva doc,Book Entertainment,,NORMAL,51 Weeks Out
Task,Put payment dates into calendar (entertainment),Book Entertainment,,NORMAL,51 Weeks Out
Category,Research Videographer ,,,NORMAL,48 Weeks Out
Task,Source reels or videos for couple to view based on inspo and questionnaire,Research Videographer ,,NORMAL,48 Weeks Out
Task,"Request proposals (with raw-footage, add-ons, pricing, editing timeline and deliverables)",Research Videographer ,,NORMAL,48 Weeks Out
Category,Research Specialty Vendor ,,,NORMAL,47 Weeks Out
Task,Brainstorm experiential add-ons with couple,Research Specialty Vendor ,,NORMAL,47 Weeks Out
Task,Research vendors based on brainstorm and questionnaire,Research Specialty Vendor ,,NORMAL,
Task,Research vendor offerings & footprint needs,Research Specialty Vendor ,,NORMAL,47 Weeks Out
Task,"Check set up, power, or space requirements",Research Specialty Vendor ,,NORMAL,47 Weeks Out
Task,Collect pricing sheets & package inclusions,Research Specialty Vendor ,,NORMAL,47 Weeks Out
Category,Book Videographer,,,HIGH,48 Weeks Out
Task,Align coverage hours with photographer timeline,Book Videographer,Research Videographer ,NORMAL,48 Weeks Out
Task,Negotiate Videographer Contract,Book Videographer,,NORMAL,48 Weeks Out
Task,"Send contract to couple, secure deposit",Book Videographer,,NORMAL,
Task,Track insurance certificate & gear list,Book Videographer,,NORMAL,47 Weeks Out
Task,Add videographer to timeline (sync with photographer),Book Videographer,,NORMAL,46 Weeks Out
Task,Upload contract to couples folders,Book Videographer,,NORMAL,
Task,"create ""videographer Questionnaire"" for couple (shot list, VIPs, restrictions)",Book Videographer,,NORMAL,
Task,Share questionnaire with couple; set 2-week completion reminder,Book Videographer,,NORMAL,
Task,Set reminder to confirm final timeline & balance (30 days out),Book Videographer,,NORMAL,
Task,Input videographer info into Canva doc,Book Videographer,,NORMAL,48 Weeks Out
Task,Put payment dates into calendar (videographer),Book Videographer,,NORMAL,48 Weeks Out
Category,Book specialty vendors,,,HIGH,48 Weeks Out
Task,Negotiate Specialty Vendor Contract,Book specialty vendors,Research Specialty Vendor ,NORMAL,48 Weeks Out
Task,Confirm any necessary deadlines and add to calendar,Book specialty vendors,,NORMAL,47 Weeks Out
Task,Send contract; secure deposit,Book specialty vendors,,NORMAL,48 Weeks Out
Task,Submit venue COI requirements to vendor,Book specialty vendors,,NORMAL,46 Weeks Out
Task,Input specialty vendor info into Canva doc,Book specialty vendors,,NORMAL,46 Weeks Out
Task,Put payment dates into calendar (specialty vendors),Book specialty vendors,,NORMAL,46 Weeks Out
Category,Research/source rentals and design,,Book Venue,NORMAL,44 Weeks Out
Task,Gather venue inventory list to avoid duplication,Research/source rentals and design,,NORMAL,45 Weeks Out
Task,"Build preliminary rental checklist (tables, chairs, linens, lounge, etc.)",Research/source rentals and design,,NORMAL,45 Weeks Out
Task,Schedule showroom visit for couple (if local),Research/source rentals and design,,NORMAL,40 Weeks Out
Task,Create visual layout and floor plan mockups,Research/source rentals and design,,NORMAL,45 Weeks Out
Task,Request itemized quotes + delivery/pick-up fees,Research/source rentals and design,,NORMAL,44 Weeks Out
Task,Request details on drop off/set up and pickup requirements,Research/source rentals and design,,NORMAL,
Task,"Compare style, condition, and minimum order requirements",Research/source rentals and design,,NORMAL,44 Weeks Out
Category,Research Florals,,,NORMAL,44 Weeks Out
Task,"Develop floral mood board (color palette, inspiration images)",Research Florals,,NORMAL,44 Weeks Out
Task,Identify must-have blooms & absolutely nots from questionnaire,Research Florals,,NORMAL,44 Weeks Out
Task,Research local vs. imported flower availability by season,Research Florals,,NORMAL,44 Weeks Out
Task,Request proposals with itemized counts & additional strike (breakdown) fees,Research Florals,,NORMAL,43 Weeks Out
Task,Schedule design consultation (Zoom/in-person),Research Florals,,NORMAL,43 Weeks Out
Task,Review proposal; suggest substitutions for budget fit,Research Florals,,NORMAL,42 Weeks Out
Category,Research Catering Companies,,,NORMAL,43 Weeks Out
Task,"Gather dietary restrictions, service style & cuisine preferences from questionnaire",Research Catering Companies,,NORMAL,43 Weeks Out
Task,Request sample menus & per-person pricing,Research Catering Companies,,NORMAL,42 Weeks Out
Task,"Compare staffing numbers, uniform, plateware, rentals, service style",Research Catering Companies,,NORMAL,42 Weeks Out
Task,Schedule tasting & collect client feedback,Research Catering Companies,,NORMAL,41 Weeks Out
Task,Find out what is included with set up and breakdown,Research Catering Companies,,NORMAL,
Category,Book Rentals,,Research/source rentals and design,HIGH,44 Weeks Out
Task,Negotiate Rentals Contract,Book Rentals,,NORMAL,44 Weeks Out
Task,Review rental agreement & damage waiver,Book Rentals,,NORMAL,44 Weeks Out
Category,Couple Tasks - 11 Months Out,,Book Rentals,NORMAL,44 Weeks Out
Task,Input rentals info into Canva doc,Couple Tasks - 11 Months Out,,NORMAL,43 Weeks Out
Task,Put payment dates into calendar (rentals),Couple Tasks - 11 Months Out,,NORMAL,43 Weeks Out
Category,Book Florist,,Research Florals,HIGH,43 Weeks Out
Task,"Confirm rentals (arches, vessels, candles) via floral company",Book Florist,,NORMAL,36 Weeks Out
Task,Approve sample centerpiece or bouquet trial (if requested),Book Florist,,NORMAL,36 Weeks Out
Task,send contract & confirm deposit,Book Florist,,NORMAL,43 Weeks Out
Task,Input florist info into Canva doc,Book Florist,,NORMAL,42 Weeks Out
Task,Put payment dates into calendar (florist),Book Florist,,NORMAL,42 Weeks Out
Category,Book Catering,,Research Catering Companies,HIGH,42 Weeks Out
Task,"Review contract terms: service charge, gratuity, taxes",Book Catering,,NORMAL,42 Weeks Out
Task,Secure COI & health permit copies,Book Catering,,NORMAL,42 Weeks Out
Task,"Coordinate rentals (china, glassware, flatware) crossover",Book Catering,,NORMAL,36 Weeks Out
Task,Input catering info into Canva doc,Book Catering,,NORMAL,41 Weeks Out
Task,Put payment dates into calendar (catering),Book Catering,,NORMAL,41 Weeks Out
Category,Research Alcohol Vendors,,,NORMAL,41 Weeks Out
Task,Verify venue liquor license or BYO policy,Research Alcohol Vendors,,NORMAL,41 Weeks Out
Task,Decide hosted vs. cash vs. consumption bar with couple,Research Alcohol Vendors,,NORMAL,41 Weeks Out
Task,Source mobile bartenders & beverage caterers,Research Alcohol Vendors,,NORMAL,40 Weeks Out
Task,Estimate case counts using consumption calculator,Research Alcohol Vendors,,NORMAL,40 Weeks Out
Task,Confirm liability insurance & ABC permits,Research Alcohol Vendors,,NORMAL,40 Weeks Out
Task,Finalize design deck,,,NORMAL,40 Weeks Out
Category,Book Alcohol Vendor,,Research Alcohol Vendors,NORMAL,40 Weeks Out
Task,"Request package pricing (beer/wine, full bar, specialty cocktails)",Book Alcohol Vendor,,NORMAL,40 Weeks Out
Task,send contract & confirm deposit,Book Alcohol Vendor,,NORMAL,40 Weeks Out
Category,Research Guest Accommodations,,,NORMAL,40 Weeks Out
Task,Research hotels within 15 minutes of venue,"Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Task,Request courtesy vs. contract block rates & attrition terms,"Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Task,"Compare amenities, shuttle options, welcome-bag policies","Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Task,Present block options & booking links to couple,"Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Category,Couple Tasks - 10 Months Out,,Couple Tasks - 11 Months Out,NORMAL,40 Weeks Out
Couple Tasks,Gather Guest Addresses,Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Couple Tasks,Start Registry,Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Couple Tasks,Set up RSVP system (wedding website),Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Task,create QR code for save-the-dates and invitations if requested by couple,Couple Tasks - 10 Months Out,,NORMAL,
Task,Finalize Save the Dates Design,Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Category,"Book Guest Accommodations (Hotels, etc.)",,"Research Guest Accommodations (Hotels, etc.)",NORMAL,36 Weeks Out
Task,Secure signed agreement for selected hotel(s),"Book Guest Accommodations (Hotels, etc.)",,NORMAL,36 Weeks Out
Task,Negotiate Book Guest Accommodations Contracts,"Book Guest Accommodations (Hotels, etc.)",,NORMAL,38 Weeks Out
Task,Confirm rooming list deadline & attrition reminders,"Book Guest Accommodations (Hotels, etc.)",,NORMAL,36 Weeks Out
Category,Research Hair & Makeup Artists,,,NORMAL,37 Weeks Out
Task,Collect inspo photos & preferred glam level,Research Hair & Makeup Artists,,NORMAL,37 Weeks Out
Task,"Source HMU teams, request pricing sheets, package inclusions, verify minimums & travel fees",Research Hair & Makeup Artists,,NORMAL,36 Weeks Out
Task,Check getting-ready location lighting & space requirements,Research Hair & Makeup Artists,,NORMAL,36 Weeks Out
Task,Schedule trial sessions; add dates to calendar,Research Hair & Makeup Artists,,NORMAL,30 Weeks Out
Category,Book Hair & Makeup Artists,,Research Hair & Makeup Artists,NORMAL,36 Weeks Out
Task,send contract & confirm deposit,Book Hair & Makeup Artists,,NORMAL,36 Weeks Out
Task,Gather preliminary timeline to share with bridal party,Book Hair & Makeup Artists,,NORMAL,
Category,Research Wedding Party Attire,,,NORMAL,36 Weeks Out
Task,Review color palette & formality guidelines,Research Wedding Party Attire,,NORMAL,44 Weeks Out
Task,Research designers/shops within budget,Research Wedding Party Attire,,NORMAL,36 Weeks Out
Task,Schedule shopping appointments; share inspiration board,Research Wedding Party Attire,,NORMAL,36 Weeks Out
Task,Confirm group discount codes or rental options,Research Wedding Party Attire,,NORMAL,36 Weeks Out
Category,Couple Tasks -  9 Months Out,,Couple Tasks - 10 Months Out,NORMAL,36 Weeks Out
Couple Tasks,Wrap up Dress Shopping,Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Couple Tasks,Finalize Guest List,Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Task,Finalize Wedding Website and Registry,Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Task,Schedule Catering Tastings (confirm choices),Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Category,Book Wedding Party Attire,,,NORMAL,35 Weeks Out
Task,Coordinate deposit payments & order confirmations,Book Wedding Party Attire,,NORMAL,34 Weeks Out
Task,Log alteration timelines & pick-up dates,Book Wedding Party Attire,,NORMAL,20 Weeks Out
Category,Research Dessert Providers,,,NORMAL,33 Weeks Out
Task,"Determine dessert style (tiered cake, dessert bar, both)",Research Dessert Providers,,NORMAL,33 Weeks Out
Task,Source bakeries & review portfolios + flavor lists,Research Dessert Providers,,NORMAL,33 Weeks Out
Task,Schedule tasting; record couple's top flavors,Research Dessert Providers,,NORMAL,30 Weeks Out
Task,Request quotes including delivery & stand rentals,Research Dessert Providers,,NORMAL,33 Weeks Out
Task,Negotiate Dessert Provider Contract,Research Dessert Providers,,NORMAL,33 Weeks Out
Category,Book Dessert Provider,,,NORMAL,32 Weeks Out
Task,Send contract & confirm deposit,Book Dessert Provider,Research Dessert Providers,NORMAL,32 Weeks Out
Category,Couple Tasks - 8 Months Out,,,NORMAL,32 Weeks Out
Couple Tasks,Send Save the Dates,Couple Tasks - 8 Months Out,Couple Tasks -  9 Months Out,NORMAL,32 Weeks Out
Task,Groom Attire Shopping,Couple Tasks - 8 Months Out,,NORMAL,32 Weeks Out
Task,Premarital Counseling,Couple Tasks - 8 Months Out,,NORMAL,32 Weeks Out
Task,Wrap up Dress Shopping,Couple Tasks - 8 Months Out,,NORMAL,32 Weeks Out
Category,Research Officiant,,,NORMAL,29 Weeks Out
Task,Clarify ceremony style & religious/secular preferences,Research Officiant,,NORMAL,29 Weeks Out
Task,Source licensed officiants or friend-officiant ordination guides,Research Officiant,,NORMAL,29 Weeks Out
Task,Confirm date availability & fee structure,Research Officiant,,NORMAL,29 Weeks Out
Task,Schedule intro call to discuss love story & tone,Research Officiant,,NORMAL,20 Weeks Out
Category,Book Officiant,,Research Officiant,NORMAL,28 Weeks Out
Couple Tasks,Sign agreement & submit deposit,Book Officiant,,NORMAL,29 Weeks Out
Category,Couple Tasks - 7 Months Out,,Couple Tasks - 8 Months Out,NORMAL,28 Weeks Out
Couple Tasks,Dance Lessons,Couple Tasks - 7 Months Out,,NORMAL,28 Weeks Out
Couple Tasks,Wrap up Groom Attire Shopping,Couple Tasks - 7 Months Out,,NORMAL,28 Weeks Out
Couple Tasks,Schedule Hair/Makeup Trial,Couple Tasks - 7 Months Out,,NORMAL,28 Weeks Out
Category,Research Transportation,,,NORMAL,27 Weeks Out
Task,Map route from transportation locations,Research Transportation,,NORMAL,27 Weeks Out
Task,"Collect quotes (shuttles, limo, classic car, get-away vehicle)",Research Transportation,,NORMAL,27 Weeks Out
Task,Verify insurance & driver gratuity policies,Research Transportation,,NORMAL,27 Weeks Out
Category,Book Transportation,,Research Transportation,NORMAL,24 Weeks Out
Task,Negotiate Transportation Contracts,Book Transportation,,NORMAL,26 Weeks Out
